Using device: cuda
Document table: docs
Document id column: id
Document text column: text
Loaded queries: 808731
Excluded token ids: [101, 102]
Excluded tokens: ['[CLS]', '[SEP]']
Effective trainable embedding parameters: 31252480
Total model parameters: 335143938
Effective trainable percentage: 9.325091835616016
Step 100/100000 | loss = 0.7094
Step 200/100000 | loss = 0.7114
Step 300/100000 | loss = 0.7142
Step 400/100000 | loss = 0.7165
Step 500/100000 | loss = 0.7112
Step 600/100000 | loss = 0.7175
Step 700/100000 | loss = 0.7191
Step 800/100000 | loss = 0.7193
Step 900/100000 | loss = 0.7124
Step 1000/100000 | loss = 0.7097
Step 1100/100000 | loss = 0.7082
Step 1200/100000 | loss = 0.7089
Step 1300/100000 | loss = 0.7152
Step 1400/100000 | loss = 0.7169
Step 1500/100000 | loss = 0.7135
Step 1600/100000 | loss = 0.7119
Step 1700/100000 | loss = 0.7151
Step 1800/100000 | loss = 0.7075
Step 1900/100000 | loss = 0.7155
Step 2000/100000 | loss = 0.7123
Step 2100/100000 | loss = 0.7087
Step 2200/100000 | loss = 0.7121
Step 2300/100000 | loss = 0.7142
Step 2400/100000 | loss = 0.7171
Step 2500/100000 | loss = 0.7079
Step 2600/100000 | loss = 0.7071
Step 2700/100000 | loss = 0.7102
Step 2800/100000 | loss = 0.7080
Step 2900/100000 | loss = 0.7046
Step 3000/100000 | loss = 0.7010
Step 3100/100000 | loss = 0.6933
Step 3200/100000 | loss = 0.6889
Step 3300/100000 | loss = 0.6986
Step 3400/100000 | loss = 0.6883
Step 3500/100000 | loss = 0.6953
Step 3600/100000 | loss = 0.6849
Step 3700/100000 | loss = 0.6795
Step 3800/100000 | loss = 0.6819
Step 3900/100000 | loss = 0.6784
Step 4000/100000 | loss = 0.6748
Step 4100/100000 | loss = 0.6776
Step 4200/100000 | loss = 0.6754
Step 4300/100000 | loss = 0.6769
Step 4400/100000 | loss = 0.6781
Step 4500/100000 | loss = 0.6816
Step 4600/100000 | loss = 0.6772
Step 4700/100000 | loss = 0.6671
Step 4800/100000 | loss = 0.6866
Step 4900/100000 | loss = 0.6786
Step 5000/100000 | loss = 0.6697
Step 5100/100000 | loss = 0.6788
Step 5200/100000 | loss = 0.6707
Step 5300/100000 | loss = 0.6691
Step 5400/100000 | loss = 0.6685
Step 5500/100000 | loss = 0.6753
Step 5600/100000 | loss = 0.6717
Step 5700/100000 | loss = 0.6672
Step 5800/100000 | loss = 0.6674
Step 5900/100000 | loss = 0.6694
Step 6000/100000 | loss = 0.6693
Step 6100/100000 | loss = 0.6707
Step 6200/100000 | loss = 0.6686
Step 6300/100000 | loss = 0.6579
Step 6400/100000 | loss = 0.6635
Step 6500/100000 | loss = 0.6573
Step 6600/100000 | loss = 0.6686
Step 6700/100000 | loss = 0.6564
Step 6800/100000 | loss = 0.6583
Step 6900/100000 | loss = 0.6670
Step 7000/100000 | loss = 0.6560
Step 7100/100000 | loss = 0.6672
Step 7200/100000 | loss = 0.6555
Step 7300/100000 | loss = 0.6576
Step 7400/100000 | loss = 0.6518
Step 7500/100000 | loss = 0.6637
Step 7600/100000 | loss = 0.6493
Step 7700/100000 | loss = 0.6575
Step 7800/100000 | loss = 0.6554
Step 7900/100000 | loss = 0.6627
Step 8000/100000 | loss = 0.6492
Step 8100/100000 | loss = 0.6606
Step 8200/100000 | loss = 0.6554
Step 8300/100000 | loss = 0.6474
Step 8400/100000 | loss = 0.6588
Step 8500/100000 | loss = 0.6423
Step 8600/100000 | loss = 0.6473
Step 8700/100000 | loss = 0.6482
Step 8800/100000 | loss = 0.6591
Step 8900/100000 | loss = 0.6574
Step 9000/100000 | loss = 0.6500
Step 9100/100000 | loss = 0.6515
Step 9200/100000 | loss = 0.6524
Step 9300/100000 | loss = 0.6496
Step 9400/100000 | loss = 0.6420
Step 9500/100000 | loss = 0.6480
Step 9600/100000 | loss = 0.6480
Step 9700/100000 | loss = 0.6531
Step 9800/100000 | loss = 0.6487
Step 9900/100000 | loss = 0.6466
Step 10000/100000 | loss = 0.6442
Saved checkpoint: outputs/approach7_all_embeddings_except_cls_sep/checkpoint-10000
Step 10100/100000 | loss = 0.6439
Step 10200/100000 | loss = 0.6409
Step 10300/100000 | loss = 0.6468
Step 10400/100000 | loss = 0.6512
Step 10500/100000 | loss = 0.6454
Step 10600/100000 | loss = 0.6409
Step 10700/100000 | loss = 0.6529
Step 10800/100000 | loss = 0.6333
Step 10900/100000 | loss = 0.6421
Step 11000/100000 | loss = 0.6404
Step 11100/100000 | loss = 0.6426
Step 11200/100000 | loss = 0.6347
Step 11300/100000 | loss = 0.6436
Step 11400/100000 | loss = 0.6467
Step 11500/100000 | loss = 0.6318
Step 11600/100000 | loss = 0.6399
Step 11700/100000 | loss = 0.6300
Step 11800/100000 | loss = 0.6416
Step 11900/100000 | loss = 0.6336
Step 12000/100000 | loss = 0.6248
Step 12100/100000 | loss = 0.6241
Step 12200/100000 | loss = 0.6347
Step 12300/100000 | loss = 0.6179
Step 12400/100000 | loss = 0.6228
Step 12500/100000 | loss = 0.6291
Step 12600/100000 | loss = 0.6365
Step 12700/100000 | loss = 0.6355
Step 12800/100000 | loss = 0.6312
Step 12900/100000 | loss = 0.6332
Step 13000/100000 | loss = 0.6354
Step 13100/100000 | loss = 0.6442
Step 13200/100000 | loss = 0.6280
Step 13300/100000 | loss = 0.6311
Step 13400/100000 | loss = 0.6303
Step 13500/100000 | loss = 0.6394
Step 13600/100000 | loss = 0.6237
Step 13700/100000 | loss = 0.6297
Step 13800/100000 | loss = 0.6352
Step 13900/100000 | loss = 0.6347
Step 14000/100000 | loss = 0.6299
Step 14100/100000 | loss = 0.6220
Step 14200/100000 | loss = 0.6179
Step 14300/100000 | loss = 0.6286
Step 14400/100000 | loss = 0.6312
Step 14500/100000 | loss = 0.6208
Step 14600/100000 | loss = 0.6241
Step 14700/100000 | loss = 0.6315
Step 14800/100000 | loss = 0.6319
Step 14900/100000 | loss = 0.6259
Step 15000/100000 | loss = 0.6202
Step 15100/100000 | loss = 0.6258
Step 15200/100000 | loss = 0.6309
Step 15300/100000 | loss = 0.6344
Step 15400/100000 | loss = 0.6278
Step 15500/100000 | loss = 0.6199
Step 15600/100000 | loss = 0.6323
Step 15700/100000 | loss = 0.6249
Step 15800/100000 | loss = 0.6242
Step 15900/100000 | loss = 0.6378
Step 16000/100000 | loss = 0.6306
Step 16100/100000 | loss = 0.6190
Step 16200/100000 | loss = 0.6326
Step 16300/100000 | loss = 0.6260
Step 16400/100000 | loss = 0.6272
Step 16500/100000 | loss = 0.6231
Step 16600/100000 | loss = 0.6289
Step 16700/100000 | loss = 0.6153
Step 16800/100000 | loss = 0.6248
Step 16900/100000 | loss = 0.6245
Step 17000/100000 | loss = 0.6220
Step 17100/100000 | loss = 0.6277
Step 17200/100000 | loss = 0.6229
Step 17300/100000 | loss = 0.6214
Step 17400/100000 | loss = 0.6212
Step 17500/100000 | loss = 0.6236
Step 17600/100000 | loss = 0.6269
Step 17700/100000 | loss = 0.6172
Step 17800/100000 | loss = 0.6254
Step 17900/100000 | loss = 0.6244
Step 18000/100000 | loss = 0.6145
Step 18100/100000 | loss = 0.6140
Step 18200/100000 | loss = 0.6198
Step 18300/100000 | loss = 0.6194
Step 18400/100000 | loss = 0.6163
Step 18500/100000 | loss = 0.6131
Step 18600/100000 | loss = 0.6141
Step 18700/100000 | loss = 0.6230
Step 18800/100000 | loss = 0.6243
Step 18900/100000 | loss = 0.6227
Step 19000/100000 | loss = 0.6177
Step 19100/100000 | loss = 0.6186
Step 19200/100000 | loss = 0.6205
Step 19300/100000 | loss = 0.6087
Step 19400/100000 | loss = 0.6214
Step 19500/100000 | loss = 0.6124
Step 19600/100000 | loss = 0.6108
Step 19700/100000 | loss = 0.6208
Step 19800/100000 | loss = 0.6049
Step 19900/100000 | loss = 0.6165
Step 20000/100000 | loss = 0.6196
Saved checkpoint: outputs/approach7_all_embeddings_except_cls_sep/checkpoint-20000
Step 20100/100000 | loss = 0.6194
Step 20200/100000 | loss = 0.6148
Step 20300/100000 | loss = 0.6127
Step 20400/100000 | loss = 0.6151
Step 20500/100000 | loss = 0.6210
Step 20600/100000 | loss = 0.6210
Step 20700/100000 | loss = 0.6132
Step 20800/100000 | loss = 0.6197
Step 20900/100000 | loss = 0.6146
Step 21000/100000 | loss = 0.6146
Step 21100/100000 | loss = 0.6075
Step 21200/100000 | loss = 0.6170
Step 21300/100000 | loss = 0.6027
Step 21400/100000 | loss = 0.6144
Step 21500/100000 | loss = 0.6117
Step 21600/100000 | loss = 0.6146
Step 21700/100000 | loss = 0.6198
Step 21800/100000 | loss = 0.6050
Step 21900/100000 | loss = 0.6110
Step 22000/100000 | loss = 0.6135
Step 22100/100000 | loss = 0.6124
Step 22200/100000 | loss = 0.6143
Step 22300/100000 | loss = 0.6100
Step 22400/100000 | loss = 0.6089
Step 22500/100000 | loss = 0.6186
Step 22600/100000 | loss = 0.6087
Step 22700/100000 | loss = 0.6098
Step 22800/100000 | loss = 0.6194
Step 22900/100000 | loss = 0.6160
Step 23000/100000 | loss = 0.6151
Step 23100/100000 | loss = 0.6108
Step 23200/100000 | loss = 0.6136
Step 23300/100000 | loss = 0.6142
Step 23400/100000 | loss = 0.6063
Step 23500/100000 | loss = 0.6146
Step 23600/100000 | loss = 0.6159
Step 23700/100000 | loss = 0.6132
Step 23800/100000 | loss = 0.6071
Step 23900/100000 | loss = 0.6046
Step 24000/100000 | loss = 0.6117
Step 24100/100000 | loss = 0.6172
Step 24200/100000 | loss = 0.6066
Step 24300/100000 | loss = 0.6057
Step 24400/100000 | loss = 0.6071
Step 24500/100000 | loss = 0.6117
Step 24600/100000 | loss = 0.6114
Step 24700/100000 | loss = 0.6039
Step 24800/100000 | loss = 0.6025
Step 24900/100000 | loss = 0.6074
Step 25000/100000 | loss = 0.6095
Step 25100/100000 | loss = 0.6025
Step 25200/100000 | loss = 0.6107
Step 25300/100000 | loss = 0.6151
Step 25400/100000 | loss = 0.6085
Step 25500/100000 | loss = 0.5958
Step 25600/100000 | loss = 0.6105
Step 25700/100000 | loss = 0.6127
Step 25800/100000 | loss = 0.6075
Step 25900/100000 | loss = 0.6065
Step 26000/100000 | loss = 0.6051
Step 26100/100000 | loss = 0.6045
Step 26200/100000 | loss = 0.6032
Step 26300/100000 | loss = 0.5996
Step 26400/100000 | loss = 0.6133
Step 26500/100000 | loss = 0.5958
Step 26600/100000 | loss = 0.6022
Step 26700/100000 | loss = 0.5941
Step 26800/100000 | loss = 0.5987
Step 26900/100000 | loss = 0.6013
Step 27000/100000 | loss = 0.6115
Step 27100/100000 | loss = 0.6038
Step 27200/100000 | loss = 0.6046
Step 27300/100000 | loss = 0.6062
Step 27400/100000 | loss = 0.5960
Step 27500/100000 | loss = 0.6059
Step 27600/100000 | loss = 0.5987
Step 27700/100000 | loss = 0.6042
Step 27800/100000 | loss = 0.6088
Step 27900/100000 | loss = 0.6070
Step 28000/100000 | loss = 0.6067
Step 28100/100000 | loss = 0.6003
Step 28200/100000 | loss = 0.6031
Step 28300/100000 | loss = 0.6143
Step 28400/100000 | loss = 0.5993
Step 28500/100000 | loss = 0.6037
Step 28600/100000 | loss = 0.6095
Step 28700/100000 | loss = 0.6072
Step 28800/100000 | loss = 0.6018
Step 28900/100000 | loss = 0.6015
Step 29000/100000 | loss = 0.6046
Step 29100/100000 | loss = 0.6033
Step 29200/100000 | loss = 0.5966
Step 29300/100000 | loss = 0.6091
Step 29400/100000 | loss = 0.5956
Step 29500/100000 | loss = 0.5952
Step 29600/100000 | loss = 0.5999
Step 29700/100000 | loss = 0.5920
Step 29800/100000 | loss = 0.5950
Step 29900/100000 | loss = 0.6043
Step 30000/100000 | loss = 0.6088
Saved checkpoint: outputs/approach7_all_embeddings_except_cls_sep/checkpoint-30000
Step 30100/100000 | loss = 0.5979
Step 30200/100000 | loss = 0.6036
Step 30300/100000 | loss = 0.5911
Step 30400/100000 | loss = 0.6032
Step 30500/100000 | loss = 0.6057
Step 30600/100000 | loss = 0.6041
Step 30700/100000 | loss = 0.6011
Step 30800/100000 | loss = 0.5979
Step 30900/100000 | loss = 0.6011
Step 31000/100000 | loss = 0.5999
Step 31100/100000 | loss = 0.6055
Step 31200/100000 | loss = 0.6080
Step 31300/100000 | loss = 0.5983
Step 31400/100000 | loss = 0.5988
Step 31500/100000 | loss = 0.5955
Step 31600/100000 | loss = 0.5906
Step 31700/100000 | loss = 0.5930
Step 31800/100000 | loss = 0.5982
Step 31900/100000 | loss = 0.6085
Step 32000/100000 | loss = 0.5993
Step 32100/100000 | loss = 0.6005
Step 32200/100000 | loss = 0.5976
Step 32300/100000 | loss = 0.5983
Step 32400/100000 | loss = 0.5889
Step 32500/100000 | loss = 0.5902
Step 32600/100000 | loss = 0.6008
Step 32700/100000 | loss = 0.5959
Step 32800/100000 | loss = 0.5918
Step 32900/100000 | loss = 0.5917
Step 33000/100000 | loss = 0.6070
Step 33100/100000 | loss = 0.5895
Step 33200/100000 | loss = 0.5968
Step 33300/100000 | loss = 0.5851
Step 33400/100000 | loss = 0.5910
Step 33500/100000 | loss = 0.6025
Step 33600/100000 | loss = 0.5903
Step 33700/100000 | loss = 0.5848
Step 33800/100000 | loss = 0.5881
Step 33900/100000 | loss = 0.6034
Step 34000/100000 | loss = 0.5900
Step 34100/100000 | loss = 0.5996
Step 34200/100000 | loss = 0.5981
Step 34300/100000 | loss = 0.5964
Step 34400/100000 | loss = 0.5959
Step 34500/100000 | loss = 0.6001
Step 34600/100000 | loss = 0.5938
Step 34700/100000 | loss = 0.5939
Step 34800/100000 | loss = 0.5819
Step 34900/100000 | loss = 0.5841
Step 35000/100000 | loss = 0.5941
Step 35100/100000 | loss = 0.5931
Step 35200/100000 | loss = 0.5929
Step 35300/100000 | loss = 0.5916
Step 35400/100000 | loss = 0.5849
Step 35500/100000 | loss = 0.5911
Step 35600/100000 | loss = 0.5915
Step 35700/100000 | loss = 0.5963
Step 35800/100000 | loss = 0.5844
Step 35900/100000 | loss = 0.5912
Step 36000/100000 | loss = 0.5964
Step 36100/100000 | loss = 0.5914
Step 36200/100000 | loss = 0.5846
Step 36300/100000 | loss = 0.5910
Step 36400/100000 | loss = 0.5869
Step 36500/100000 | loss = 0.5972
Step 36600/100000 | loss = 0.5863
Step 36700/100000 | loss = 0.5772
Step 36800/100000 | loss = 0.5843
Step 36900/100000 | loss = 0.5868
Step 37000/100000 | loss = 0.5863
Step 37100/100000 | loss = 0.5803
Step 37200/100000 | loss = 0.5772
Step 37300/100000 | loss = 0.5852
Step 37400/100000 | loss = 0.5832
Step 37500/100000 | loss = 0.5877
Step 37600/100000 | loss = 0.5806
Step 37700/100000 | loss = 0.5813
Step 37800/100000 | loss = 0.5856
Step 37900/100000 | loss = 0.5943
Step 38000/100000 | loss = 0.5839
Step 38100/100000 | loss = 0.5927
Step 38200/100000 | loss = 0.5882
Step 38300/100000 | loss = 0.5847
Step 38400/100000 | loss = 0.5789
Step 38500/100000 | loss = 0.5908
Step 38600/100000 | loss = 0.5913
Step 38700/100000 | loss = 0.5846
Step 38800/100000 | loss = 0.5905
Step 38900/100000 | loss = 0.5793
Step 39000/100000 | loss = 0.5880
Step 39100/100000 | loss = 0.5849
Step 39200/100000 | loss = 0.5787
Step 39300/100000 | loss = 0.5806
Step 39400/100000 | loss = 0.5748
Step 39500/100000 | loss = 0.5841
Step 39600/100000 | loss = 0.5848
Step 39700/100000 | loss = 0.5772
Step 39800/100000 | loss = 0.5818
Step 39900/100000 | loss = 0.5839
Step 40000/100000 | loss = 0.5804
Saved checkpoint: outputs/approach7_all_embeddings_except_cls_sep/checkpoint-40000
Step 40100/100000 | loss = 0.5804
Step 40200/100000 | loss = 0.5878
Step 40300/100000 | loss = 0.5859
Step 40400/100000 | loss = 0.5790
Step 40500/100000 | loss = 0.5933
Step 40600/100000 | loss = 0.5794
Step 40700/100000 | loss = 0.5836
Step 40800/100000 | loss = 0.5842
Step 40900/100000 | loss = 0.5889
Step 41000/100000 | loss = 0.5840
Step 41100/100000 | loss = 0.5810
Step 41200/100000 | loss = 0.5789
Step 41300/100000 | loss = 0.5743
Step 41400/100000 | loss = 0.5784
Step 41500/100000 | loss = 0.5827
Step 41600/100000 | loss = 0.5845
Step 41700/100000 | loss = 0.5809
Step 41800/100000 | loss = 0.5754
Step 41900/100000 | loss = 0.5812
Step 42000/100000 | loss = 0.5782
Step 42100/100000 | loss = 0.5763
Step 42200/100000 | loss = 0.5857
