Using device: cuda
Document table: docs
Document id column: id
Document text column: text
Loaded queries: 808731
Trainable parameters: 335143938
Total model parameters: 335143938
Trainable percentage: 100.0
Batch size: 8
Accumulation steps: 16
Effective batch size: 128
Resumed from: outputs/full_monobert/latest/checkpoint.pt
Start step: 75000
Step 75100/100000 | loss = 0.0818
Step 75200/100000 | loss = 0.0722
Step 75300/100000 | loss = 0.0758
Step 75400/100000 | loss = 0.0759
Step 75500/100000 | loss = 0.0881
Step 75600/100000 | loss = 0.0717
Step 75700/100000 | loss = 0.0588
Step 75800/100000 | loss = 0.0846
Step 75900/100000 | loss = 0.0920
Step 76000/100000 | loss = 0.0763
Step 76100/100000 | loss = 0.0763
Step 76200/100000 | loss = 0.0725
Step 76300/100000 | loss = 0.0836
Step 76400/100000 | loss = 0.0995
Step 76500/100000 | loss = 0.0582
Step 76600/100000 | loss = 0.0633
Step 76700/100000 | loss = 0.0734
Step 76800/100000 | loss = 0.0586
Step 76900/100000 | loss = 0.0769
Step 77000/100000 | loss = 0.0857
Step 77100/100000 | loss = 0.0955
Step 77200/100000 | loss = 0.0802
Step 77300/100000 | loss = 0.0774
Step 77400/100000 | loss = 0.0531
Step 77500/100000 | loss = 0.0713
Step 77600/100000 | loss = 0.0668
Step 77700/100000 | loss = 0.0763
Step 77800/100000 | loss = 0.0806
Step 77900/100000 | loss = 0.0566
Step 78000/100000 | loss = 0.0862
Step 78100/100000 | loss = 0.0480
Step 78200/100000 | loss = 0.0584
Step 78300/100000 | loss = 0.0584
Step 78400/100000 | loss = 0.0760
Step 78500/100000 | loss = 0.0717
Step 78600/100000 | loss = 0.0876
Step 78700/100000 | loss = 0.0813
Step 78800/100000 | loss = 0.0714
Step 78900/100000 | loss = 0.0942
Step 79000/100000 | loss = 0.0874
Step 79100/100000 | loss = 0.0699
Step 79200/100000 | loss = 0.0787
Step 79300/100000 | loss = 0.0667
Step 79400/100000 | loss = 0.0701
Step 79500/100000 | loss = 0.0737
Step 79600/100000 | loss = 0.0567
Step 79700/100000 | loss = 0.0855
Step 79800/100000 | loss = 0.0583
Step 79900/100000 | loss = 0.0638
Step 80000/100000 | loss = 0.0778
Saved checkpoint at step 80000: outputs/full_monobert/latest/checkpoint.pt
Step 80100/100000 | loss = 0.0598
Step 80200/100000 | loss = 0.0762
Step 80300/100000 | loss = 0.0646
Step 80400/100000 | loss = 0.0485
Step 80500/100000 | loss = 0.0496
Step 80600/100000 | loss = 0.0584
Step 80700/100000 | loss = 0.0799
Step 80800/100000 | loss = 0.1064
Step 80900/100000 | loss = 0.0687
Step 81000/100000 | loss = 0.1044
Step 81100/100000 | loss = 0.0706
Step 81200/100000 | loss = 0.0584
Step 81300/100000 | loss = 0.0306
Step 81400/100000 | loss = 0.0579
Step 81500/100000 | loss = 0.0586
Step 81600/100000 | loss = 0.0874
Step 81700/100000 | loss = 0.0516
Step 81800/100000 | loss = 0.0406
Step 81900/100000 | loss = 0.0541
Step 82000/100000 | loss = 0.0467
Step 82100/100000 | loss = 0.0403
Step 82200/100000 | loss = 0.0520
Step 82300/100000 | loss = 0.0700
Step 82400/100000 | loss = 0.0647
Step 82500/100000 | loss = 0.0756
Step 82600/100000 | loss = 0.0606
Step 82700/100000 | loss = 0.0845
Step 82800/100000 | loss = 0.0862
Step 82900/100000 | loss = 0.0775
Step 83000/100000 | loss = 0.0744
Step 83100/100000 | loss = 0.0580
Step 83200/100000 | loss = 0.0764
Step 83300/100000 | loss = 0.0817
Step 83400/100000 | loss = 0.0518
Step 83500/100000 | loss = 0.0525
Step 83600/100000 | loss = 0.0444
Step 83700/100000 | loss = 0.0717
Step 83800/100000 | loss = 0.0518
Step 83900/100000 | loss = 0.0575
Step 84000/100000 | loss = 0.0985
Step 84100/100000 | loss = 0.0431
Step 84200/100000 | loss = 0.0470
Step 84300/100000 | loss = 0.0588
Step 84400/100000 | loss = 0.0463
Step 84500/100000 | loss = 0.0440
Step 84600/100000 | loss = 0.0785
Step 84700/100000 | loss = 0.0563
Step 84800/100000 | loss = 0.0475
Step 84900/100000 | loss = 0.0524
Step 85000/100000 | loss = 0.0228
Saved checkpoint at step 85000: outputs/full_monobert/latest/checkpoint.pt
Step 85100/100000 | loss = 0.0584
Step 85200/100000 | loss = 0.0635
Step 85300/100000 | loss = 0.0395
Step 85400/100000 | loss = 0.0687
Step 85500/100000 | loss = 0.0965
Step 85600/100000 | loss = 0.0496
Step 85700/100000 | loss = 0.0544
Step 85800/100000 | loss = 0.0828
Step 85900/100000 | loss = 0.0536
Step 86000/100000 | loss = 0.0513
Step 86100/100000 | loss = 0.0465
Step 86200/100000 | loss = 0.0390
Step 86300/100000 | loss = 0.0721
Step 86400/100000 | loss = 0.0639
Step 86500/100000 | loss = 0.0541
Step 86600/100000 | loss = 0.0695
Step 86700/100000 | loss = 0.0419
Step 86800/100000 | loss = 0.0771
Step 86900/100000 | loss = 0.0596
Step 87000/100000 | loss = 0.0566
Step 87100/100000 | loss = 0.0428
Step 87200/100000 | loss = 0.0474
Step 87300/100000 | loss = 0.0335
Step 87400/100000 | loss = 0.0478
Step 87500/100000 | loss = 0.0350
Step 87600/100000 | loss = 0.0780
Step 87700/100000 | loss = 0.0388
Step 87800/100000 | loss = 0.0444
Step 87900/100000 | loss = 0.0640
Step 88000/100000 | loss = 0.0608
Step 88100/100000 | loss = 0.0740
Step 88200/100000 | loss = 0.0589
Step 88300/100000 | loss = 0.0464
Step 88400/100000 | loss = 0.0484
Step 88500/100000 | loss = 0.0567
Step 88600/100000 | loss = 0.0560
Step 88700/100000 | loss = 0.0673
Step 88800/100000 | loss = 0.0469
Step 88900/100000 | loss = 0.0652
Step 89000/100000 | loss = 0.0516
Step 89100/100000 | loss = 0.0488
Step 89200/100000 | loss = 0.0517
Step 89300/100000 | loss = 0.0675
Step 89400/100000 | loss = 0.0575
Step 89500/100000 | loss = 0.0564
Step 89600/100000 | loss = 0.0323
Step 89700/100000 | loss = 0.0461
Step 89800/100000 | loss = 0.0262
Step 89900/100000 | loss = 0.0330
Step 90000/100000 | loss = 0.0480
Saved checkpoint at step 90000: outputs/full_monobert/latest/checkpoint.pt
Step 90100/100000 | loss = 0.0796
Step 90200/100000 | loss = 0.0645
Step 90300/100000 | loss = 0.0399
Step 90400/100000 | loss = 0.0634
Step 90500/100000 | loss = 0.0708
Step 90600/100000 | loss = 0.0388
Step 90700/100000 | loss = 0.0527
Step 90800/100000 | loss = 0.0676
Step 90900/100000 | loss = 0.0506
Step 91000/100000 | loss = 0.0789
Step 91100/100000 | loss = 0.0478
Step 91200/100000 | loss = 0.0412
Step 91300/100000 | loss = 0.0594
Step 91400/100000 | loss = 0.0536
Step 91500/100000 | loss = 0.0655
Step 91600/100000 | loss = 0.0758
Step 91700/100000 | loss = 0.0405
Step 91800/100000 | loss = 0.0375
Step 91900/100000 | loss = 0.0488
Step 92000/100000 | loss = 0.0628
Step 92100/100000 | loss = 0.0649
Step 92200/100000 | loss = 0.0399
Step 92300/100000 | loss = 0.0644
Step 92400/100000 | loss = 0.0585
Step 92500/100000 | loss = 0.0438
Step 92600/100000 | loss = 0.0602
Step 92700/100000 | loss = 0.0433
Step 92800/100000 | loss = 0.0610
Step 92900/100000 | loss = 0.0511
Step 93000/100000 | loss = 0.0366
Step 93100/100000 | loss = 0.0681
Step 93200/100000 | loss = 0.0402
Step 93300/100000 | loss = 0.0653
Step 93400/100000 | loss = 0.0530
Step 93500/100000 | loss = 0.0429
Step 93600/100000 | loss = 0.0445
Step 93700/100000 | loss = 0.0364
Step 93800/100000 | loss = 0.0572
Step 93900/100000 | loss = 0.0455
Step 94000/100000 | loss = 0.0616
Step 94100/100000 | loss = 0.0474
Step 94200/100000 | loss = 0.0570
Step 94300/100000 | loss = 0.0792
Step 94400/100000 | loss = 0.0397
Step 94500/100000 | loss = 0.0490
Step 94600/100000 | loss = 0.0294
Step 94700/100000 | loss = 0.0549
Step 94800/100000 | loss = 0.0404
Step 94900/100000 | loss = 0.0505
Step 95000/100000 | loss = 0.0476
Saved checkpoint at step 95000: outputs/full_monobert/latest/checkpoint.pt
Step 95100/100000 | loss = 0.0397
Step 95200/100000 | loss = 0.0527
Step 95300/100000 | loss = 0.0537
Step 95400/100000 | loss = 0.0472
Step 95500/100000 | loss = 0.0440
Step 95600/100000 | loss = 0.0445
Step 95700/100000 | loss = 0.0513
Step 95800/100000 | loss = 0.0628
Step 95900/100000 | loss = 0.0538
Step 96000/100000 | loss = 0.0599
Step 96100/100000 | loss = 0.0632
Step 96200/100000 | loss = 0.0672
Step 96300/100000 | loss = 0.0607
Step 96400/100000 | loss = 0.0645
Step 96500/100000 | loss = 0.0262
Step 96600/100000 | loss = 0.0643
Step 96700/100000 | loss = 0.0515
Step 96800/100000 | loss = 0.0346
Step 96900/100000 | loss = 0.0493
Step 97000/100000 | loss = 0.0541
Step 97100/100000 | loss = 0.0518
Step 97200/100000 | loss = 0.0518
Step 97300/100000 | loss = 0.0470
Step 97400/100000 | loss = 0.0513
Step 97500/100000 | loss = 0.0334
Step 97600/100000 | loss = 0.0303
Step 97700/100000 | loss = 0.0474
Step 97800/100000 | loss = 0.0627
Step 97900/100000 | loss = 0.0624
Step 98000/100000 | loss = 0.0419
Step 98100/100000 | loss = 0.0581
Step 98200/100000 | loss = 0.0361
Step 98300/100000 | loss = 0.0537
Step 98400/100000 | loss = 0.0426
Step 98500/100000 | loss = 0.1061
Step 98600/100000 | loss = 0.0461
Step 98700/100000 | loss = 0.0541
Step 98800/100000 | loss = 0.0348
Step 98900/100000 | loss = 0.0338
Step 99000/100000 | loss = 0.0484
Step 99100/100000 | loss = 0.0366
Step 99200/100000 | loss = 0.0696
Step 99300/100000 | loss = 0.0396
Step 99400/100000 | loss = 0.0555
Step 99500/100000 | loss = 0.0747
Step 99600/100000 | loss = 0.0335
Step 99700/100000 | loss = 0.0540
Step 99800/100000 | loss = 0.0577
Step 99900/100000 | loss = 0.0583
Step 100000/100000 | loss = 0.0625
Saved checkpoint at step 100000: outputs/full_monobert/latest/checkpoint.pt
Saved checkpoint at step 100000: outputs/full_monobert/latest/checkpoint.pt
Saved checkpoint at step 100000: outputs/full_monobert/final/checkpoint.pt
Finished full MonoBERT training
Saved final checkpoint: outputs/full_monobert/final/checkpoint.pt
Saved HuggingFace model: outputs/full_monobert/final/hf_model
