approach,dataset,NDCG@10,MRR@10,MAP@1000,Recall@100,evaluated_queries
BM25,msmarco-passage/trec-dl-2019/judged,0.056431439050755504,0.1910483573274271,0.07874946106939797,0.11005592533867863,43
BM25,msmarco-passage/trec-dl-2020/judged,0.03255096975465734,0.10401234567901235,0.04977862391512734,0.11044624992979168,54
BM25,msmarco-passage/dev/small,0.0074762635529747445,0.0052587324328012,0.008610628196162533,0.1025549188156638,6980
BM25,msmarco-passage/trec-dl-hard,0.2513337875363429,0.5195793650793651,0.18449700433329155,0.4007365181423779,50
Public MonoBERT,msmarco-passage/trec-dl-2019/judged,0.6539966753502046,0.9813953488372094,0.4722346247681577,0.5223666747729375,43
Public MonoBERT,msmarco-passage/trec-dl-2020/judged,0.6856234556147348,0.925,0.47178846459733165,0.5680271528696702,54
Public MonoBERT,msmarco-passage/dev/small,0.4297332862798895,0.37063622822577014,0.3729651854787112,0.7928844317096464,6980
Public MonoBERT,msmarco-passage/trec-dl-hard,0.3964654854181009,0.6335476190476189,0.26755256963950336,0.5216758821283523,50
CLS/SEP embeddings,msmarco-passage/trec-dl-2019/judged,0.044923142087803646,0.06585455887781469,0.09417443746169453,0.137874261068471
Top-6 embeddings,msmarco-passage/trec-dl-2019/judged,0.019733639996478286,0.04111295681063123,0.051739382926480976,0.04619383935288012
Top-3 attention matrices,msmarco-passage/trec-dl-2019/judged,0.5626727018321771,0.8972868217054263,0.4050470476150008,0.47067701487613556
CLS/SEP embeddings,msmarco-passage/trec-dl-2020/judged,0.02236968943798267,0.06396237507348619,0.06843683932268244,0.12015857037908398
Top-6 embeddings,msmarco-passage/trec-dl-2020/judged,0.019313583929694296,0.061316872427983546,0.037957884485323716,0.030637631706363952
Top-3 attention matrices,msmarco-passage/trec-dl-2020/judged,0.5311936222012588,0.8342592592592593,0.4022810603896521,0.5330534138008395
CLS/SEP embeddings,msmarco-passage/dev/small,0.009257040619494646,0.005684495383635785,0.01165228189536729,0.17351957975167143
Top-6 embeddings,msmarco-passage/dev/small,0.0054071868460540025,0.0035296993678082503,0.005629470963227213,0.0356494746895893
Top-3 attention matrices,msmarco-passage/dev/small,0.3348410199118509,0.2794912903079092,0.2856153667059991,0.7635148042024832
CLS/SEP embeddings,msmarco-passage/trec-dl-hard,0.0030753943225398195,0.007555555555555555,0.024228770868749628,0.04752301275634025
Top-6 embeddings,msmarco-passage/trec-dl-hard,0.0015648927841566149,0.012857142857142855,0.01421371234591275,0.01116594491729586
Top-3 attention matrices,msmarco-passage/trec-dl-hard,0.3065261874638733,0.5370238095238096,0.216281524351001,0.4740589891872904
Approach 4: All embeddings,msmarco-passage/trec-dl-2019/judged,0.05101953821230179,0.05939461055740125,0.17168741380885255,0.3230462509690433,43
Approach 4: All embeddings,msmarco-passage/trec-dl-2020/judged,0.045009098016792974,0.10192533803644915,0.12182063123640219,0.3290880789846578,54
Approach 4: All embeddings,msmarco-passage/dev/small,0.017298086462180923,0.009661845636057705,0.025783537184802228,0.5566260744985674,6980
Approach 4: All embeddings,msmarco-passage/trec-dl-hard,0.015118477292495597,0.03333333333333333,0.06354515537974877,0.3320854572728763,50
LoRA all attention,msmarco-passage/trec-dl-2019/judged,0.6595307881746766,0.9709302325581395,0.46972862269373855,0.5228612422468477,43
LoRA all attention,msmarco-passage/trec-dl-2020/judged,0.6761831447269592,0.9413580246913581,0.46861658863152833,0.5552391347540301,54
LoRA all attention,msmarco-passage/dev/small,0.4206633528704581,0.3619248874334828,0.36511016492906967,0.7890042979942693,6980
LoRA all attention,msmarco-passage/trec-dl-hard,0.40061277640505627,0.6711825396825397,0.2760841615948898,0.5059422049379686,50
LoRA top-3 attention,msmarco-passage/trec-dl-2019/judged,0.5265923457467877,0.8616279069767441,0.39605129565499625,0.4669278413538283,43
LoRA top-3 attention,msmarco-passage/trec-dl-2020/judged,0.4825238821982705,0.8128306878306878,0.377606365553758,0.5254177261332368,54
LoRA top-3 attention,msmarco-passage/dev/small,0.2955287296302569,0.24146916359666987,0.24941529425945133,0.7432903533906399,6980
LoRA top-3 attention,msmarco-passage/trec-dl-hard,0.2873195050689802,0.4854126984126983,0.20144396591371855,0.4707916594799099,50
Full MonoBERT,msmarco-passage/trec-dl-2019/judged,0.6286355552432087,0.9689922480620156,0.4247746220285816,0.4705712832848608,43
Full MonoBERT,msmarco-passage/trec-dl-2020/judged,0.6426287383425591,0.9290123456790125,0.4284611109601071,0.5309726360183444,54
Full MonoBERT,msmarco-passage/dev/small,0.40592601614901436,0.34529813071360277,0.3488408706217073,0.7809216809933142,6980
Full MonoBERT,msmarco-passage/trec-dl-hard,0.3977336092945288,0.6815238095238095,0.25849983807635785,0.48627637422341863,50
All embeddings except CLS/SEP,msmarco-passage/trec-dl-2019/judged,0.027448218884203072,0.03972868217054264,0.1099396712671284,0.13695586340853458,43
All embeddings except CLS/SEP,msmarco-passage/trec-dl-2020/judged,0.012344076050175354,0.02160493827160494,0.08115244075999645,0.16551179018467102,54
All embeddings except CLS/SEP,msmarco-passage/dev/small,0.006596951063817498,0.0039934393050438865,0.011049561033668377,0.20571872015281756,6980
All embeddings except CLS/SEP,msmarco-passage/trec-dl-hard,0.0005678933438947631,0.0022222222222222222,0.034833959660613666,0.12440585641831606,50
